     X      Y Temperature
 0.900  0.660 316.074
 0.900  0.675 316.074
 0.900  0.690 316.074
 0.900  0.705 316.074
 0.900  0.720 316.074
 0.900  0.735 316.074
 0.900  0.750 316.074
 0.900  0.765 316.074
 0.900  0.780 316.074
 0.900  0.795 316.074
 0.900  0.810 316.074
 0.900  0.825 316.074
 0.900  0.840 316.074
 0.900  0.855 316.074
 0.900  0.870 316.074
 0.900  0.885 316.074
 0.900  0.900 316.074
 0.900  0.915 316.074
 0.900  0.930 316.074
 0.900  0.945 316.074
 0.900  0.960 316.074
 0.900  0.975 316.074
 0.900  0.990 316.074
 0.900  1.005 316.074
 0.900  1.020 316.074
 0.900  1.035 316.074
 0.900  1.050 316.074
 0.900  1.065 316.074
 0.900  1.080 316.074
 0.900  1.095 316.074
 0.900  1.110 316.074
 0.900  1.125 316.074
 0.900  1.140 316.074
 0.900  1.155 316.074
 0.900  1.170 316.074
 0.900  1.185 316.074
 0.900  1.200 316.074
 0.900  1.215 316.074
 0.900  1.230 316.074
 0.900  1.245 316.074
 0.900  1.260 316.074
 0.900  1.275 316.074
 0.900  1.290 316.074
 0.900  1.305 316.074
 0.900  1.320 316.074
 0.900  1.335 316.074
 0.900  1.350 316.074
 0.900  1.365 316.074
 0.900  1.380 316.074
 0.900  1.395 316.074
 0.900  1.410 316.074
 0.900  1.425 316.074
 0.900  1.440 316.074
 0.900  1.455 316.074
 0.900  1.470 316.074
 0.900  1.485 316.074
 0.900  1.500 316.074
 0.900  1.515 316.074
 0.900  1.530 316.074
 0.900  1.545 316.074
 0.900  1.560 316.074
 0.900  1.575 316.074
 0.900  1.590 316.074
 0.900  1.605 316.074
 0.900  1.620 316.074
 0.900  1.635 316.074
 0.900  1.650 316.074
 0.900  1.665 316.074
 0.900  1.680 316.074
 0.900  1.695 316.074
 0.900  1.710 316.074
 0.900  1.725 316.074
 0.900  1.740 316.074
 0.900  1.755 316.074
 0.900  1.770 316.074
 0.900  1.785 316.074
 0.900  1.800 316.074
 0.900  1.815 316.074
 0.900  1.830 316.074
 0.900  1.845 316.074
 0.900  1.860 316.074
 0.900  1.875 316.074
 0.900  1.890 316.074
 0.900  1.905 316.074
 0.900  1.920 316.074
 0.900  1.935 316.074
 0.900  1.950 316.074
 0.900  1.965 316.074
 0.900  1.980 316.074
 0.900  1.995 316.074
 0.900  2.010 316.074
 0.900  2.025 316.074
 0.900  2.040 316.074
 0.900  2.055 316.074
 0.900  2.070 316.074
 0.900  2.085 316.074
 0.900  2.100 316.074
 0.900  2.115 316.074
 0.900  2.130 316.074
 0.900  2.145 316.074
 0.900  2.160 316.074
 0.900  2.175 316.074
 0.900  2.190 316.074
 0.900  2.205 316.074
 0.900  2.220 316.074
 0.900  2.235 316.074
 0.900  2.250 316.074
 0.900  2.265 316.074
 0.900  2.280 316.074
 0.900  2.295 316.074
 0.900  2.310 316.074
 0.900  2.325 316.074
 0.900  2.340 316.074
 0.900  2.355 316.074
 0.900  2.370 316.074
 0.900  2.385 316.074
 0.900  2.400 316.074
 0.900  2.415 316.074
 0.900  2.430 316.074
 0.900  2.445 316.074
 0.900  2.460 316.074
 0.900  2.475 316.074
 0.900  2.490 316.074
 0.900  2.505 316.074
 0.900  2.520 316.074
 0.900  2.535 316.074
 0.900  2.550 316.074
 0.900  2.565 316.074
 0.900  2.580 316.074
 0.900  2.595 316.074
 0.900  2.610 316.074
 0.900  2.625 316.074
 0.900  2.640 316.074
 0.900  2.655 316.074
 0.900  2.670 316.074
 0.900  2.685 316.074
 0.900  2.700 316.074
 0.900  2.715 316.074
 0.900  2.730 316.074
 0.900  2.745 316.074
 0.900  2.760 316.074
 0.900  2.775 316.074
 0.900  2.790 316.074
 0.900  2.805 316.074
 0.900  2.820 316.074
 0.900  2.835 316.074
 0.900  2.850 316.074
 0.900  2.865 316.074
 0.900  2.880 316.074
 0.900  2.895 316.074
 0.900  2.910 316.074
 0.900  2.925 316.074
 0.900  2.940 316.074
 0.900  2.955 316.074
 0.900  2.970 316.074
 0.900  2.985 316.074
 0.900  3.000 316.074
 0.915  0.000 316.053
 0.915  0.015 316.053
 0.915  0.030 316.053
 0.915  0.045 316.053
 0.915  0.060 316.053
 0.915  0.075 316.053
 0.915  0.090 316.053
 0.915  0.105 316.053
 0.915  0.120 316.053
 0.915  0.135 316.053
 0.915  0.150 316.053
 0.915  0.165 316.053
 0.915  0.180 316.053
 0.915  0.195 316.053
 0.915  0.210 316.053
 0.915  0.225 316.053
 0.915  0.240 316.053
 0.915  0.255 316.053
 0.915  0.270 316.053
 0.915  0.285 316.053
 0.915  0.300 316.053
 0.915  0.315 316.053
 0.915  0.330 316.053
 0.915  0.345 316.053
 0.915  0.360 316.053
 0.915  0.375 316.053
 0.915  0.390 316.053
 0.915  0.405 316.053
 0.915  0.420 316.053
 0.915  0.435 316.053
 0.915  0.450 316.053
 0.915  0.465 316.053
 0.915  0.480 316.053
 0.915  0.495 316.053
 0.915  0.510 316.053
 0.915  0.525 316.053
 0.915  0.540 316.053
 0.915  0.555 316.053
 0.915  0.570 316.053
 0.915  0.585 316.053
 0.915  0.600 316.053
 0.915  0.615 316.053
 0.915  0.630 316.053
 0.915  0.645 316.053
 0.915  0.660 316.053
 0.915  0.675 316.053
 0.915  0.690 316.053
 0.915  0.705 316.053
 0.915  0.720 316.053
 0.915  0.735 316.053
 0.915  0.750 316.053
 0.915  0.765 316.053
 0.915  0.780 316.053
 0.915  0.795 316.053
 0.915  0.810 316.053
 0.915  0.825 316.053
 0.915  0.840 316.053
 0.915  0.855 316.053
 0.915  0.870 316.053
 0.915  0.885 316.053
 0.915  0.900 316.053
 0.915  0.915 316.053
 0.915  0.930 316.053
 0.915  0.945 316.053
 0.915  0.960 316.053
 0.915  0.975 316.053
 0.915  0.990 316.053
 0.915  1.005 316.053
 0.915  1.020 316.053
 0.915  1.035 316.053
 0.915  1.050 316.053
 0.915  1.065 316.053
 0.915  1.080 316.053
 0.915  1.095 316.053
 0.915  1.110 316.053
 0.915  1.125 316.053
 0.915  1.140 316.053
 0.915  1.155 316.053
 0.915  1.170 316.053
 0.915  1.185 316.053
 0.915  1.200 316.053
 0.915  1.215 316.053
 0.915  1.230 316.053
 0.915  1.245 316.053
 0.915  1.260 316.053
 0.915  1.275 316.053
 0.915  1.290 316.053
 0.915  1.305 316.053
 0.915  1.320 316.053
 0.915  1.335 316.053
 0.915  1.350 316.053
 0.915  1.365 316.053
 0.915  1.380 316.053
 0.915  1.395 316.053
 0.915  1.410 316.053
 0.915  1.425 316.053
 0.915  1.440 316.053
 0.915  1.455 316.053
 0.915  1.470 316.053
 0.915  1.485 316.053
 0.915  1.500 316.053
 0.915  1.515 316.053
 0.915  1.530 316.053
 0.915  1.545 316.053
 0.915  1.560 316.053
 0.915  1.575 316.053
 0.915  1.590 316.053
 0.915  1.605 316.053
 0.915  1.620 316.053
 0.915  1.635 316.053
 0.915  1.650 316.053
 0.915  1.665 316.053
 0.915  1.680 316.053
 0.915  1.695 316.053
 0.915  1.710 316.053
 0.915  1.725 316.053
 0.915  1.740 316.053
 0.915  1.755 316.053
 0.915  1.770 316.053
 0.915  1.785 316.053
 0.915  1.800 316.053
 0.915  1.815 316.053
 0.915  1.830 316.053
 0.915  1.845 316.053
 0.915  1.860 316.053
 0.915  1.875 316.053
 0.915  1.890 316.053
 0.915  1.905 316.053
 0.915  1.920 316.053
 0.915  1.935 316.053
 0.915  1.950 316.053
 0.915  1.965 316.053
 0.915  1.980 316.053
 0.915  1.995 316.053
 0.915  2.010 316.053
 0.915  2.025 316.053
 0.915  2.040 316.053
 0.915  2.055 316.053
 0.915  2.070 316.053
 0.915  2.085 316.053
 0.915  2.100 316.053
 0.915  2.115 316.053
 0.915  2.130 316.053
 0.915  2.145 316.053
 0.915  2.160 316.053
 0.915  2.175 316.053
 0.915  2.190 316.053
 0.915  2.205 316.053
 0.915  2.220 316.053
 0.915  2.235 316.053
 0.915  2.250 316.053
 0.915  2.265 316.053
 0.915  2.280 316.053
 0.915  2.295 316.053
 0.915  2.310 316.053
 0.915  2.325 316.053
 0.915  2.340 316.053
 0.915  2.355 316.053
 0.915  2.370 316.053
 0.915  2.385 316.053
 0.915  2.400 316.053
 0.915  2.415 316.053
 0.915  2.430 316.053
 0.915  2.445 316.053
 0.915  2.460 316.053
 0.915  2.475 316.053
 0.915  2.490 316.053
 0.915  2.505 316.053
 0.915  2.520 316.053
 0.915  2.535 316.053
 0.915  2.550 316.053
 0.915  2.565 316.053
 0.915  2.580 316.053
 0.915  2.595 316.053
 0.915  2.610 316.053
 0.915  2.625 316.053
 0.915  2.640 316.053
 0.915  2.655 316.053
 0.915  2.670 316.053
 0.915  2.685 316.053
 0.915  2.700 316.053
 0.915  2.715 316.053
 0.915  2.730 316.053
 0.915  2.745 316.053
 0.915  2.760 316.053
 0.915  2.775 316.053
 0.915  2.790 316.053
 0.915  2.805 316.053
 0.915  2.820 316.053
 0.915  2.835 316.053
 0.915  2.850 316.053
 0.915  2.865 316.053
 0.915  2.880 316.053
 0.915  2.895 316.053
 0.915  2.910 316.053
 0.915  2.925 316.053
 0.915  2.940 316.053
 0.915  2.955 316.053
 0.915  2.970 316.053
 0.915  2.985 316.053
 0.915  3.000 316.053
 0.930  0.000 316.032
 0.930  0.015 316.032
 0.930  0.030 316.032
 0.930  0.045 316.032
 0.930  0.060 316.032
 0.930  0.075 316.032
 0.930  0.090 316.032
 0.930  0.105 316.032
 0.930  0.120 316.032
 0.930  0.135 316.032
 0.930  0.150 316.032
 0.930  0.165 316.032
 0.930  0.180 316.032
 0.930  0.195 316.032
 0.930  0.210 316.032
 0.930  0.225 316.032
 0.930  0.240 316.032
 0.930  0.255 316.032
 0.930  0.270 316.032
 0.930  0.285 316.032
 0.930  0.300 316.032
 0.930  0.315 316.032
 0.930  0.330 316.032
 0.930  0.345 316.032
 0.930  0.360 316.032
 0.930  0.375 316.032
 0.930  0.390 316.032
 0.930  0.405 316.032
 0.930  0.420 316.032
 0.930  0.435 316.032
 0.930  0.450 316.032
 0.930  0.465 316.032
 0.930  0.480 316.032
 0.930  0.495 316.032
 0.930  0.510 316.032
 0.930  0.525 316.032
 0.930  0.540 316.032
 0.930  0.555 316.032
 0.930  0.570 316.032
 0.930  0.585 316.032
 0.930  0.600 316.032
 0.930  0.615 316.032
 0.930  0.630 316.032
 0.930  0.645 316.032
 0.930  0.660 316.032
 0.930  0.675 316.032
 0.930  0.690 316.032
 0.930  0.705 316.032
 0.930  0.720 316.032
 0.930  0.735 316.032
 0.930  0.750 316.032
 0.930  0.765 316.032
 0.930  0.780 316.032
 0.930  0.795 316.032
 0.930  0.810 316.032
 0.930  0.825 316.032
 0.930  0.840 316.032
 0.930  0.855 316.032
 0.930  0.870 316.032
 0.930  0.885 316.032
 0.930  0.900 316.032
 0.930  0.915 316.032
 0.930  0.930 316.032
 0.930  0.945 316.032
 0.930  0.960 316.032
 0.930  0.975 316.032
 0.930  0.990 316.032
 0.930  1.005 316.032
 0.930  1.020 316.032
 0.930  1.035 316.032
 0.930  1.050 316.032
 0.930  1.065 316.032
 0.930  1.080 316.032
 0.930  1.095 316.032
 0.930  1.110 316.032
 0.930  1.125 316.032
 0.930  1.140 316.032
 0.930  1.155 316.032
 0.930  1.170 316.032
 0.930  1.185 316.032
 0.930  1.200 316.032
 0.930  1.215 316.032
 0.930  1.230 316.032
 0.930  1.245 316.032
 0.930  1.260 316.032
 0.930  1.275 316.032
 0.930  1.290 316.032
 0.930  1.305 316.032
 0.930  1.320 316.032
 0.930  1.335 316.032
 0.930  1.350 316.032
 0.930  1.365 316.032
 0.930  1.380 316.032
 0.930  1.395 316.032
 0.930  1.410 316.032
 0.930  1.425 316.032
 0.930  1.440 316.032
 0.930  1.455 316.032
 0.930  1.470 316.032
 0.930  1.485 316.032
 0.930  1.500 316.032
 0.930  1.515 316.032
 0.930  1.530 316.032
 0.930  1.545 316.032
 0.930  1.560 316.032
 0.930  1.575 316.032
 0.930  1.590 316.032
 0.930  1.605 316.032
 0.930  1.620 316.032
 0.930  1.635 316.032
 0.930  1.650 316.032
 0.930  1.665 316.032
 0.930  1.680 316.032
 0.930  1.695 316.032
 0.930  1.710 316.032
 0.930  1.725 316.032
 0.930  1.740 316.032
 0.930  1.755 316.032
 0.930  1.770 316.032
 0.930  1.785 316.032
 0.930  1.800 316.032
 0.930  1.815 316.032
 0.930  1.830 316.032
 0.930  1.845 316.032
 0.930  1.860 316.032
 0.930  1.875 316.032
 0.930  1.890 316.032
 0.930  1.905 316.032
 0.930  1.920 316.032
 0.930  1.935 316.032
 0.930  1.950 316.032
 0.930  1.965 316.032
 0.930  1.980 316.032
 0.930  1.995 316.032
 0.930  2.010 316.032
 0.930  2.025 316.032
 0.930  2.040 316.032
 0.930  2.055 316.032
 0.930  2.070 316.032
 0.930  2.085 316.032
 0.930  2.100 316.032
 0.930  2.115 316.032
 0.930  2.130 316.032
 0.930  2.145 316.032
 0.930  2.160 316.032
 0.930  2.175 316.032
 0.930  2.190 316.032
 0.930  2.205 316.032
 0.930  2.220 316.032
 0.930  2.235 316.032
 0.930  2.250 316.032
 0.930  2.265 316.032
 0.930  2.280 316.032
 0.930  2.295 316.032
 0.930  2.310 316.032
 0.930  2.325 316.032
 0.930  2.340 316.032
 0.930  2.355 316.032
 0.930  2.370 316.032
 0.930  2.385 316.032
 0.930  2.400 316.032
 0.930  2.415 316.032
 0.930  2.430 316.032
 0.930  2.445 316.032
 0.930  2.460 316.032
 0.930  2.475 316.032
 0.930  2.490 316.032
 0.930  2.505 316.032
 0.930  2.520 316.032
 0.930  2.535 316.032
 0.930  2.550 316.032
 0.930  2.565 316.032
 0.930  2.580 316.032
 0.930  2.595 316.032
 0.930  2.610 316.032
 0.930  2.625 316.032
 0.930  2.640 316.032
 0.930  2.655 316.032
 0.930  2.670 316.032
 0.930  2.685 316.032
 0.930  2.700 316.032
 0.930  2.715 316.032
 0.930  2.730 316.032
 0.930  2.745 316.032
 0.930  2.760 316.032
 0.930  2.775 316.032
 0.930  2.790 316.032
 0.930  2.805 316.032
 0.930  2.820 316.032
 0.930  2.835 316.032
 0.930  2.850 316.032
 0.930  2.865 316.032
 0.930  2.880 316.032
 0.930  2.895 316.032
 0.930  2.910 316.032
 0.930  2.925 316.032
 0.930  2.940 316.032
 0.930  2.955 316.032
 0.930  2.970 316.032
 0.930  2.985 316.032
 0.930  3.000 316.032
 0.945  0.000 316.011
 0.945  0.015 316.011
 0.945  0.030 316.011
 0.945  0.045 316.011
 0.945  0.060 316.011
 0.945  0.075 316.011
 0.945  0.090 316.011
 0.945  0.105 316.011
 0.945  0.120 316.011
 0.945  0.135 316.011
 0.945  0.150 316.011
 0.945  0.165 316.011
 0.945  0.180 316.011
 0.945  0.195 316.011
 0.945  0.210 316.011
 0.945  0.225 316.011
 0.945  0.240 316.011
 0.945  0.255 316.011
 0.945  0.270 316.011
 0.945  0.285 316.011
 0.945  0.300 316.011
 0.945  0.315 316.011
 0.945  0.330 316.011
 0.945  0.345 316.011
 0.945  0.360 316.011
 0.945  0.375 316.011
 0.945  0.390 316.011
 0.945  0.405 316.011
 0.945  0.420 316.011
 0.945  0.435 316.011
 0.945  0.450 316.011
 0.945  0.465 316.011
 0.945  0.480 316.011
 0.945  0.495 316.011
 0.945  0.510 316.011
 0.945  0.525 316.011
 0.945  0.540 316.011
 0.945  0.555 316.011
 0.945  0.570 316.011
 0.945  0.585 316.011
 0.945  0.600 316.011
 0.945  0.615 316.011
 0.945  0.630 316.011
 0.945  0.645 316.011
 0.945  0.660 316.011
 0.945  0.675 316.011
 0.945  0.690 316.011
 0.945  0.705 316.011
 0.945  0.720 316.011
 0.945  0.735 316.011
 0.945  0.750 316.011
 0.945  0.765 316.011
 0.945  0.780 316.011
 0.945  0.795 316.011
 0.945  0.810 316.011
 0.945  0.825 316.011
 0.945  0.840 316.011
 0.945  0.855 316.011
 0.945  0.870 316.011
 0.945  0.885 316.011
 0.945  0.900 316.011
 0.945  0.915 316.011
 0.945  0.930 316.011
 0.945  0.945 316.011
 0.945  0.960 316.011
 0.945  0.975 316.011
 0.945  0.990 316.011
 0.945  1.005 316.011
 0.945  1.020 316.011
 0.945  1.035 316.011
 0.945  1.050 316.011
 0.945  1.065 316.011
 0.945  1.080 316.011
 0.945  1.095 316.011
 0.945  1.110 316.011
 0.945  1.125 316.011
 0.945  1.140 316.011
 0.945  1.155 316.011
 0.945  1.170 316.011
 0.945  1.185 316.011
 0.945  1.200 316.011
 0.945  1.215 316.011
 0.945  1.230 316.011
 0.945  1.245 316.011
 0.945  1.260 316.011
 0.945  1.275 316.011
 0.945  1.290 316.011
 0.945  1.305 316.011
 0.945  1.320 316.011
 0.945  1.335 316.011
 0.945  1.350 316.011
 0.945  1.365 316.011
 0.945  1.380 316.011
 0.945  1.395 316.011
 0.945  1.410 316.011
 0.945  1.425 316.011
 0.945  1.440 316.011
 0.945  1.455 316.011
 0.945  1.470 316.011
 0.945  1.485 316.011
 0.945  1.500 316.011
 0.945  1.515 316.011
 0.945  1.530 316.011
 0.945  1.545 316.011
 0.945  1.560 316.011
 0.945  1.575 316.011
 0.945  1.590 316.011
 0.945  1.605 316.011
 0.945  1.620 316.011
 0.945  1.635 316.011
 0.945  1.650 316.011
 0.945  1.665 316.011
 0.945  1.680 316.011
 0.945  1.695 316.011
 0.945  1.710 316.011
 0.945  1.725 316.011
 0.945  1.740 316.011
 0.945  1.755 316.011
 0.945  1.770 316.011
 0.945  1.785 316.011
 0.945  1.800 316.011
 0.945  1.815 316.011
 0.945  1.830 316.011
 0.945  1.845 316.011
 0.945  1.860 316.011
 0.945  1.875 316.011
 0.945  1.890 316.011
 0.945  1.905 316.011
 0.945  1.920 316.011
 0.945  1.935 316.011
 0.945  1.950 316.011
 0.945  1.965 316.011
 0.945  1.980 316.011
 0.945  1.995 316.011
 0.945  2.010 316.011
 0.945  2.025 316.011
 0.945  2.040 316.011
 0.945  2.055 316.011
 0.945  2.070 316.011
 0.945  2.085 316.011
 0.945  2.100 316.011
 0.945  2.115 316.011
 0.945  2.130 316.011
 0.945  2.145 316.011
 0.945  2.160 316.011
 0.945  2.175 316.011
 0.945  2.190 316.011
 0.945  2.205 316.011
 0.945  2.220 316.011
 0.945  2.235 316.011
 0.945  2.250 316.011
 0.945  2.265 316.011
 0.945  2.280 316.011
 0.945  2.295 316.011
 0.945  2.310 316.011
 0.945  2.325 316.011
 0.945  2.340 316.011
 0.945  2.355 316.011
 0.945  2.370 316.011
 0.945  2.385 316.011
 0.945  2.400 316.011
 0.945  2.415 316.011
 0.945  2.430 316.011
 0.945  2.445 316.011
 0.945  2.460 316.011
 0.945  2.475 316.011
 0.945  2.490 316.011
 0.945  2.505 316.011
 0.945  2.520 316.011
 0.945  2.535 316.011
 0.945  2.550 316.011
 0.945  2.565 316.011
 0.945  2.580 316.011
 0.945  2.595 316.011
 0.945  2.610 316.011
 0.945  2.625 316.011
 0.945  2.640 316.011
 0.945  2.655 316.011
 0.945  2.670 316.011
 0.945  2.685 316.011
 0.945  2.700 316.011
 0.945  2.715 316.011
 0.945  2.730 316.011
 0.945  2.745 316.011
 0.945  2.760 316.011
 0.945  2.775 316.011
 0.945  2.790 316.011
 0.945  2.805 316.011
 0.945  2.820 316.011
 0.945  2.835 316.011
 0.945  2.850 316.011
 0.945  2.865 316.011
 0.945  2.880 316.011
 0.945  2.895 316.011
 0.945  2.910 316.011
 0.945  2.925 316.011
 0.945  2.940 316.011
 0.945  2.955 316.011
 0.945  2.970 316.011
 0.945  2.985 316.011
 0.945  3.000 316.011
 0.960  0.000 315.990
 0.960  0.015 315.990
 0.960  0.030 315.990
 0.960  0.045 315.990
 0.960  0.060 315.990
 0.960  0.075 315.990
 0.960  0.090 315.990
 0.960  0.105 315.990
 0.960  0.120 315.990
 0.960  0.135 315.990
 0.960  0.150 315.990
 0.960  0.165 315.990
 0.960  0.180 315.990
 0.960  0.195 315.990
 0.960  0.210 315.990
 0.960  0.225 315.990
 0.960  0.240 315.990
 0.960  0.255 315.990
 0.960  0.270 315.990
 0.960  0.285 315.990
 0.960  0.300 315.990
 0.960  0.315 315.990
 0.960  0.330 315.990
 0.960  0.345 315.990
 0.960  0.360 315.990
 0.960  0.375 315.990
 0.960  0.390 315.990
 0.960  0.405 315.990
 0.960  0.420 315.990
 0.960  0.435 315.990
 0.960  0.450 315.990
 0.960  0.465 315.990
 0.960  0.480 315.990
 0.960  0.495 315.990
 0.960  0.510 315.990
 0.960  0.525 315.990
 0.960  0.540 315.990
 0.960  0.555 315.990
 0.960  0.570 315.990
 0.960  0.585 315.990
 0.960  0.600 315.990
 0.960  0.615 315.990
 0.960  0.630 315.990
 0.960  0.645 315.990
 0.960  0.660 315.990
 0.960  0.675 315.990
 0.960  0.690 315.990
 0.960  0.705 315.990
 0.960  0.720 315.990
 0.960  0.735 315.990
 0.960  0.750 315.990
 0.960  0.765 315.990
 0.960  0.780 315.990
 0.960  0.795 315.990
 0.960  0.810 315.990
 0.960  0.825 315.990
 0.960  0.840 315.990
 0.960  0.855 315.990
 0.960  0.870 315.990
 0.960  0.885 315.990
 0.960  0.900 315.990
 0.960  0.915 315.990
 0.960  0.930 315.990
 0.960  0.945 315.990
 0.960  0.960 315.990
 0.960  0.975 315.990
 0.960  0.990 315.990
 0.960  1.005 315.990
 0.960  1.020 315.990
 0.960  1.035 315.990
 0.960  1.050 315.990
 0.960  1.065 315.990
 0.960  1.080 315.990
 0.960  1.095 315.990
 0.960  1.110 315.990
 0.960  1.125 315.990
 0.960  1.140 315.990
 0.960  1.155 315.990
 0.960  1.170 315.990
 0.960  1.185 315.990
 0.960  1.200 315.990
 0.960  1.215 315.990
 0.960  1.230 315.990
 0.960  1.245 315.990
 0.960  1.260 315.990
 0.960  1.275 315.990
 0.960  1.290 315.990
 0.960  1.305 315.990
 0.960  1.320 315.990
 0.960  1.335 315.990
 0.960  1.350 315.990
 0.960  1.365 315.990
 0.960  1.380 315.990
 0.960  1.395 315.990
 0.960  1.410 315.990
 0.960  1.425 315.990
 0.960  1.440 315.990
 0.960  1.455 315.990
 0.960  1.470 315.990
 0.960  1.485 315.990
 0.960  1.500 315.990
 0.960  1.515 315.990
 0.960  1.530 315.990
 0.960  1.545 315.990
 0.960  1.560 315.990
 0.960  1.575 315.990
 0.960  1.590 315.990
 0.960  1.605 315.990
 0.960  1.620 315.990
 0.960  1.635 315.990
 0.960  1.650 315.990
 0.960  1.665 315.990
 0.960  1.680 315.990
 0.960  1.695 315.990
 0.960  1.710 315.990
 0.960  1.725 315.990
 0.960  1.740 315.990
 0.960  1.755 315.990
 0.960  1.770 315.990
 0.960  1.785 315.990
 0.960  1.800 315.990
 0.960  1.815 315.990
 0.960  1.830 315.990
 0.960  1.845 315.990
 0.960  1.860 315.990
 0.960  1.875 315.990
 0.960  1.890 315.990
 0.960  1.905 315.990
 0.960  1.920 315.990
 0.960  1.935 315.990
 0.960  1.950 315.990
 0.960  1.965 315.990
 0.960  1.980 315.990
 0.960  1.995 315.990
 0.960  2.010 315.990
 0.960  2.025 315.990
 0.960  2.040 315.990
 0.960  2.055 315.990
 0.960  2.070 315.990
 0.960  2.085 315.990
 0.960  2.100 315.990
 0.960  2.115 315.990
 0.960  2.130 315.990
 0.960  2.145 315.990
 0.960  2.160 315.990
 0.960  2.175 315.990
 0.960  2.190 315.990
 0.960  2.205 315.990
 0.960  2.220 315.990
 0.960  2.235 315.990
 0.960  2.250 315.990
 0.960  2.265 315.990
 0.960  2.280 315.990
 0.960  2.295 315.990
 0.960  2.310 315.990
 0.960  2.325 315.990
 0.960  2.340 315.990
 0.960  2.355 315.990
 0.960  2.370 315.990
 0.960  2.385 315.990
 0.960  2.400 315.990
 0.960  2.415 315.990
 0.960  2.430 315.990
 0.960  2.445 315.990
 0.960  2.460 315.990
 0.960  2.475 315.990
 0.960  2.490 315.990
 0.960  2.505 315.990
 0.960  2.520 315.990
 0.960  2.535 315.990
 0.960  2.550 315.990
 0.960  2.565 315.990
 0.960  2.580 315.990
 0.960  2.595 315.990
 0.960  2.610 315.990
 0.960  2.625 315.990
 0.960  2.640 315.990
 0.960  2.655 315.990
 0.960  2.670 315.990
 0.960  2.685 315.990
 0.960  2.700 315.990
 0.960  2.715 315.990
 0.960  2.730 315.990
 0.960  2.745 315.990
 0.960  2.760 315.990
 0.960  2.775 315.990
 0.960  2.790 315.990
 0.960  2.805 315.990
 0.960  2.820 315.990
 0.960  2.835 315.990
 0.960  2.850 315.990
 0.960  2.865 315.990
 0.960  2.880 315.990
 0.960  2.895 315.990
 0.960  2.910 315.990
 0.960  2.925 315.990
 0.960  2.940 315.990
 0.960  2.955 315.990
 0.960  2.970 315.990
 0.960  2.985 315.990
 0.960  3.000 315.990
 0.975  0.000 315.969
 0.975  0.015 315.969
 0.975  0.030 315.969
 0.975  0.045 315.969
 0.975  0.060 315.969
 0.975  0.075 315.969
 0.975  0.090 315.969
 0.975  0.105 315.969
 0.975  0.120 315.969
 0.975  0.135 315.969
 0.975  0.150 315.969
 0.975  0.165 315.969
 0.975  0.180 315.969
 0.975  0.195 315.969
 0.975  0.210 315.969
 0.975  0.225 315.969
 0.975  0.240 315.969
 0.975  0.255 315.969
 0.975  0.270 315.969
 0.975  0.285 315.969
 0.975  0.300 315.969
 0.975  0.315 315.969
 0.975  0.330 315.969
 0.975  0.345 315.969
 0.975  0.360 315.969
 0.975  0.375 315.969
 0.975  0.390 315.969
 0.975  0.405 315.969
 0.975  0.420 315.969
 0.975  0.435 315.969
 0.975  0.450 315.969
 0.975  0.465 315.969
 0.975  0.480 315.969
 0.975  0.495 315.969
 0.975  0.510 315.969
 0.975  0.525 315.969
 0.975  0.540 315.969
 0.975  0.555 315.969
 0.975  0.570 315.969
 0.975  0.585 315.969
 0.975  0.600 315.969
 0.975  0.615 315.969
 0.975  0.630 315.969
 0.975  0.645 315.969
 0.975  0.660 315.969
 0.975  0.675 315.969
 0.975  0.690 315.969
 0.975  0.705 315.969
 0.975  0.720 315.969
 0.975  0.735 315.969
 0.975  0.750 315.969
 0.975  0.765 315.969
 0.975  0.780 315.969
 0.975  0.795 315.969
 0.975  0.810 315.969
 0.975  0.825 315.969
 0.975  0.840 315.969
 0.975  0.855 315.969
 0.975  0.870 315.969
 0.975  0.885 315.969
 0.975  0.900 315.969
 0.975  0.915 315.969
 0.975  0.930 315.969
 0.975  0.945 315.969
 0.975  0.960 315.969
 0.975  0.975 315.969
 0.975  0.990 315.969
 0.975  1.005 315.969
 0.975  1.020 315.969
 0.975  1.035 315.969
 0.975  1.050 315.969
 0.975  1.065 315.969
 0.975  1.080 315.969
 0.975  1.095 315.969
 0.975  1.110 315.969
 0.975  1.125 315.969
 0.975  1.140 315.969
 0.975  1.155 315.969
 0.975  1.170 315.969
 0.975  1.185 315.969
 0.975  1.200 315.969
 0.975  1.215 315.969
 0.975  1.230 315.969
 0.975  1.245 315.969
 0.975  1.260 315.969
 0.975  1.275 315.969
 0.975  1.290 315.969
 0.975  1.305 315.969
 0.975  1.320 315.969
 0.975  1.335 315.969
 0.975  1.350 315.969
 0.975  1.365 315.969
 0.975  1.380 315.969
 0.975  1.395 315.969
 0.975  1.410 315.969
 0.975  1.425 315.969
 0.975  1.440 315.969
 0.975  1.455 315.969
 0.975  1.470 315.969
 0.975  1.485 315.969
 0.975  1.500 315.969
 0.975  1.515 315.969
 0.975  1.530 315.969
 0.975  1.545 315.969
 0.975  1.560 315.969
 0.975  1.575 315.969
 0.975  1.590 315.969
 0.975  1.605 315.969
 0.975  1.620 315.969
 0.975  1.635 315.969
 0.975  1.650 315.969
 0.975  1.665 315.969
 0.975  1.680 315.969
 0.975  1.695 315.969
 0.975  1.710 315.969
