     X      Y Temperature
 0.015  0.660 317.313
 0.015  0.675 317.313
 0.015  0.690 317.313
 0.015  0.705 317.313
 0.015  0.720 317.313
 0.015  0.735 317.313
 0.015  0.750 317.313
 0.015  0.765 317.313
 0.015  0.780 317.313
 0.015  0.795 317.313
 0.015  0.810 317.313
 0.015  0.825 317.313
 0.015  0.840 317.313
 0.015  0.855 317.313
 0.015  0.870 317.313
 0.015  0.885 317.313
 0.015  0.900 317.313
 0.015  0.915 317.313
 0.015  0.930 317.313
 0.015  0.945 317.313
 0.015  0.960 317.313
 0.015  0.975 317.313
 0.015  0.990 317.313
 0.015  1.005 317.313
 0.015  1.020 317.313
 0.015  1.035 317.313
 0.015  1.050 317.313
 0.015  1.065 317.313
 0.015  1.080 317.313
 0.015  1.095 317.313
 0.015  1.110 317.313
 0.015  1.125 317.313
 0.015  1.140 317.313
 0.015  1.155 317.313
 0.015  1.170 317.313
 0.015  1.185 317.313
 0.015  1.200 317.313
 0.015  1.215 317.313
 0.015  1.230 317.313
 0.015  1.245 317.313
 0.015  1.260 317.313
 0.015  1.275 317.313
 0.015  1.290 317.313
 0.015  1.305 317.313
 0.015  1.320 317.313
 0.015  1.335 317.313
 0.015  1.350 317.313
 0.015  1.365 317.313
 0.015  1.380 317.313
 0.015  1.395 317.313
 0.015  1.410 317.313
 0.015  1.425 317.313
 0.015  1.440 317.313
 0.015  1.455 317.313
 0.015  1.470 317.313
 0.015  1.485 317.313
 0.015  1.500 317.313
 0.015  1.515 317.313
 0.015  1.530 317.313
 0.015  1.545 317.313
 0.015  1.560 317.313
 0.015  1.575 317.313
 0.015  1.590 317.313
 0.015  1.605 317.313
 0.015  1.620 317.313
 0.015  1.635 317.313
 0.015  1.650 317.313
 0.015  1.665 317.313
 0.015  1.680 317.313
 0.015  1.695 317.313
 0.015  1.710 317.313
 0.015  1.725 317.313
 0.015  1.740 317.313
 0.015  1.755 317.313
 0.015  1.770 317.313
 0.015  1.785 317.313
 0.015  1.800 317.313
 0.015  1.815 317.313
 0.015  1.830 317.313
 0.015  1.845 317.313
 0.015  1.860 317.313
 0.015  1.875 317.313
 0.015  1.890 317.313
 0.015  1.905 317.313
 0.015  1.920 317.313
 0.015  1.935 317.313
 0.015  1.950 317.313
 0.015  1.965 317.313
 0.015  1.980 317.313
 0.015  1.995 317.313
 0.015  2.010 317.313
 0.015  2.025 317.313
 0.015  2.040 317.313
 0.015  2.055 317.313
 0.015  2.070 317.313
 0.015  2.085 317.313
